Lease,Answer,Real answer,Correct
1,"BarBell Real Estate, LLC","BarBell Real Estate, LLC",1
2,Lessor,Sony Chocolate Industries Ltd,0
3,The Wheelership LLC,The Wheelership LLC,1
4,7,"Venable Tenant, LLC",0
5,"Wyomissing Professional Center III, Limited Partnership",Wyomissing Professional Center III Limited Partnership,1
6,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
7,Landlord,"AR Industrial No. 1, Ltd",0
8,Landlord,"Village Corner, LLC",0
9,Blackstone Dry Lease Agreement (Global 7500),GH4 Partners LLC,0
10,,"YESCO Properties, LLC",0
11,Landlord,"Holder Investments, Inc",0
12,Lessor,ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,0
13,Landlord,Douglas R. Rippel,0
14,,"Adairsville GA, LLC",0
15,Lessor,"Narcoossee Acquisitions, LLC",0
16,Landlord,"EXPONENT REALTY, LLC",0
17,,"SRE TKC CHARLESTON IV, LLC",0
18,B.,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,,Chicago Executive Airport,0
20,Landlord,"UP 64 SIDNEY STREET, LLC",0
21,,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Landlord,"ARE-MA REGION NO. 75, LLC",0
23,7,"MEADOWS OFFICE, L.L.C.",0
24,"APT Cowork, LLC","APT Cowork, LLC",1
25,Landlord,"Wilks Ranch Texas, LTD",0
26,"Alexandria Real Estate Equities, Inc","ARE-708 QUINCE ORCHARD, LLC",0
27,Lessor,"FARNAM STREET FINANCIAL, INC",0
28,XXIII.- HOLDING OVER,"Industrias Asociadas Maquiladoras, S.A. de C.V.",0
29,Gleiss Lutz,fischer group SE & Co. KG,0
30,,"Eagle I Investments, L.L.C.",0
31,C.,CTROOK002 LLC,0
32,,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
35,Landa Properties LLC Yishai Cohen,Landa Properties LLC,0
36,C.,PINAL COUNTY,0
37,Landlord,Anthony Nigel Sampson,0
38,,"ARE-SD REGION NO. 71, LLC",0
39,Landlord,"CARGILL, INCORPORATED",0
40,8-17-19-25,"BERNARDO WINDELL, LLC",0
41,8-17-19-25,"BERNARDO WINDELL, LLC",0
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
43,,"Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,,"Taylyn Holdings, LLC",0
45,Gregory Vizirgianakis,MINOAN CAPITAL PTY LTD,0
46,Landlord,"UPPER CHEASPEAKE FLEX ONE, LLC",0
47,"Apple Moving, Inc.","Apple Moving, Inc.",1
48,Sunrise Nominee Trust,Sunrise Nominee Trust,1
49,Landlord,"Cruiser Lane, LLC",0
50,,NWP BUILDING 20 LLC,0
51,Phil Bosua,Phil Bosua,1
52,Visions Federal Credit Union,VISIONS FEDERAL CREDIT UNION,1
53,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
54,Jamie Justice/Colliers International,Trustmark National Bank,0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
56,State of Wyoming,State of Wyoming,1
57,The Landlord,Queen Mary Bioenterprises Limited,0
58,Party A,"Sichuan Anyi Hengke Technology Co., Ltd.",0
59,Lessor,"GIFFORD INVESTMENTS, INC.",0
60,Lessor,Kathryn Joy Atkinson,0
