Lease,Answer,Real answer,Correct
1,Kyle J. Beller,"BarBell Real Estate, LLC",0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
3,The name of the lessor is Licensor.,The Wheelership LLC,0
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
5,Marathon Business,Wyomissing Professional Center III Limited Partnership,0
6,Lessor,Hooten Non Exempt Family Trust B,0
7,Landlord,"AR Industrial No. 1, Ltd",0
8,Embassy Bank,"Village Corner, LLC",0
9,Blackstone,GH4 Partners LLC,0
10,The name of the lessor is not explicitly mentioned in the provided source document. The terms 'Landlord' and 'Tenant' are used generically without specific names.,"YESCO Properties, LLC",0
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,"The name of the lessor is not explicitly mentioned in the provided source document. The document refers to the lessor as 'Landlord' in several instances, but does not provide a specific name.",Douglas R. Rippel,0
14,The name of the lessor is not explicitly mentioned in the provided source document.,"Adairsville GA, LLC",0
15,The name of the lessor is not explicitly mentioned in the provided source document. The document refers to the lessor as 'LESSOR' throughout.,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,Landlord,"SRE TKC CHARLESTON IV, LLC",0
18,The name of the lessor is Ground Lessor.,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,The name of the lessor is not explicitly mentioned in the provided source document.,Chicago Executive Airport,0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
21,Landlord,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Suzie Markin and Dante Angelucci,"ARE-MA REGION NO. 75, LLC",0
23,"The name of the lessor is not explicitly stated in the provided source document. The term 'Landlord' is used, but it does not provide a specific name.","MEADOWS OFFICE, L.L.C.",0
24,Owner,"APT Cowork, LLC",0
25,"The name of the lessor is not explicitly mentioned in the provided source document. Therefore, I cannot provide the exact name of the lessor.","Wilks Ranch Texas, LTD",0
26,"Alexandria Real Estate Equities, Inc","ARE-708 QUINCE ORCHARD, LLC",0
27,Lessor,"FARNAM STREET FINANCIAL, INC",0
28,Sergio Tagliapietra Nassri,"Industrias Asociadas Maquiladoras, S.A. de C.V.",0
29,F.E.R. Fischer Edelstahlrohre GmbH,fischer group SE & Co. KG,0
30,"Eagle 1 Investments, L.L.C.","Eagle I Investments, L.L.C.",1
31,"Oak Street Real Estate Capital, LLC",CTROOK002 LLC,0
32,Dan Tsang,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
35,Landa Properties LLC,Landa Properties LLC,1
36,The name of the lessor is not explicitly mentioned in the provided source document.,PINAL COUNTY,0
37,Anthony Nigel Sampson,Anthony Nigel Sampson,1
38,"ARE-SD REGION NO. 71, LLC, a Delaware limited liability company","ARE-SD REGION NO. 71, LLC",0
39,"Cargill, Incorporated","CARGILL, INCORPORATED",1
40,"The name of the lessor is not explicitly mentioned in the provided source document. The term 'Landlord' is used, but it does not specify a full name.","BERNARDO WINDELL, LLC",0
41,"The name of the lessor is not explicitly mentioned in the provided source document. The term 'Landlord' is used, but it does not specify a full name.","BERNARDO WINDELL, LLC",0
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
43,"The exact name of the lessor is not provided in the source document. The document contains placeholders for the lessor's name, indicated by ""_______________________________, a ________________________"".","Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,The name of the lessor is not explicitly mentioned in the provided source document. The document refers to the lessor as 'Landlord' throughout.,"Taylyn Holdings, LLC",0
45,Minoan Capital Pty Ltd,MINOAN CAPITAL PTY LTD,1
46,"Clene Nanomedicine, Inc.","UPPER CHEASPEAKE FLEX ONE, LLC",0
47,"Apple Moving, INC.","Apple Moving, Inc.",1
48,"The name of the lessor is not explicitly mentioned in the provided source document. The term 'Landlord' is used, but it does not provide a specific name.",Sunrise Nominee Trust,0
49,"Cruiser Lane, LLC","Cruiser Lane, LLC",1
50,The name of the lessor is not explicitly mentioned in the provided source document. The term 'Landlord' is used generically without specifying a name.,NWP BUILDING 20 LLC,0
51,Phil Bosua,Phil Bosua,1
52,Lessor shall provide Lessee with the name of Lessor's employee(s) or agent(s) who shall be the only individuals to receive inquiries or other matters pertaining to this lease.,VISIONS FEDERAL CREDIT UNION,0
53,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
54,Lessor,Trustmark National Bank,0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
56,STATE OF WYOMING,State of Wyoming,1
57,"Queen Mary and Westfield College, University of London.",Queen Mary Bioenterprises Limited,0
58,"Sichuan Anyi Hengke Technology Co., Ltd.","Sichuan Anyi Hengke Technology Co., Ltd.",1
59,"The name of the lessor is not explicitly mentioned in the provided source document. Therefore, I cannot provide the exact name.","GIFFORD INVESTMENTS, INC.",0
