Lease,Answer,Real answer,Correct
1,Kyle J. Beller / Manager,"BarBell Real Estate, LLC",0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
3,The name of the lessor in the agreement is Licensor.,The Wheelership LLC,0
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
5,Marathon Business Tenant,Wyomissing Professional Center III Limited Partnership,0
6,The name of the lessor in the agreement is Lessor.,Hooten Non Exempt Family Trust B,0
7,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the term 'Landlord' is used in various contexts.","AR Industrial No. 1, Ltd",0
8,"Village Corner, LLC","Village Corner, LLC",1
9,GH4 Partners LLC,GH4 Partners LLC,1
10,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the term 'Landlord' is used to refer to the lessor.","YESCO Properties, LLC",0
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"ORWIG PROPERTY MANAGEMENT CENTER SQUARE, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the lessor is referred to as ""Landlord"" in certain cases.",Douglas R. Rippel,0
14,The name of the lessor in the agreement is not explicitly mentioned in the provided source document.,"Adairsville GA, LLC",0
15,"The name of the lessor in the agreement is not explicitly stated in the provided source document. The terms ""LESSOR"" and ""LESSEE"" are used generically without specific names.","Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,"The name of the lessor in the agreement is not explicitly stated in the provided source document. The document refers to the lessor as ""Landlord"" in certain contexts, but does not provide a specific name.","SRE TKC CHARLESTON IV, LLC",0
18,The name of the lessor in the agreement is Ground Lessor.,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,The name of the lessor in the agreement is not explicitly stated in the provided source document.,Chicago Executive Airport,0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
21,The name of the lessor in the agreement is Landlord.,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Suzie Markin and Dante Angelucci are designated as the authorized representatives of the lessor.,"ARE-MA REGION NO. 75, LLC",0
23,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it is referred to as ""Landlord"" in the context of the lease.","MEADOWS OFFICE, L.L.C.",0
24,"Cottonwood Capital Management, Inc., a Delaware corporation","APT Cowork, LLC",0
25,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the lessor is referred to as ""Landlord"" in various instances.","Wilks Ranch Texas, LTD",0
26,"Alexandria Real Estate Equities, Inc.","ARE-708 QUINCE ORCHARD, LLC",0
27,The name of the lessor in the agreement is Lessor.,"FARNAM STREET FINANCIAL, INC",0
28,"INDUSTRIAS ASOCIADAS MAQUILADORAS, S. A. DE C. V.","Industrias Asociadas Maquiladoras, S.A. de C.V.",1
29,F.E.R. Fischer Edelstahlrohre GmbH,fischer group SE & Co. KG,0
30,"Eagle 1 Investments, L.L.C.","Eagle I Investments, L.L.C.",1
31,"Oak Street Real Estate Capital, LLC",CTROOK002 LLC,0
32,Dan Tsang,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
